"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
2.5,2,0.99325,0.9925,0.00441745276023286,0.00490828084470318
2.5,3,0.995,0.994444444444444,0.00288675134594813,0.00320750149549791
2.5,4,0.9935,0.992777777777778,0.00357460176492121,0.00397177973880135
2.5,5,0.99475,0.994166666666667,0.00398782870466848,0.00443092078296498
2.5,6,0.99475,0.994166666666667,0.00432210082662998,0.0048023342518111
2.5,7,0.99375,0.993055555555556,0.00317323879410994,0.00352582088234439
2.5,8,0.9925,0.991666666666667,0.00311804782231161,0.00346449758034623
2.5,9,0.9925,0.991666666666667,0.00390867979985285,0.00434297755539205
2.5,10,0.9915,0.990555555555556,0.00444097086482475,0.00493441207202751
2.5,11,0.99275,0.991944444444445,0.00398782870466846,0.00443092078296495
3,1,0.99525,0.994722222222222,0.00362284418654736,0.00402538242949705
3,2,0.9945,0.993888888888889,0.00283823106098775,0.00315359006776414
3,3,0.99475,0.994166666666667,0.00362284418654736,0.00402538242949705
3,4,0.9955,0.995,0.00387298334620741,0.00430331482911934
3,5,0.99425,0.993611111111111,0.00441745276023287,0.00490828084470318
3,6,0.99475,0.994166666666667,0.00380970981688747,0.00423301090765275
3,7,0.995,0.994444444444444,0.00424918292799398,0.00472131436443775
3,8,0.9945,0.993888888888889,0.00349602949390051,0.00388447721544499
3,9,0.994,0.993333333333333,0.00337474278855277,0.00374971420950306
3,10,0.993,0.992222222222222,0.00307318148576429,0.00341464609529365
3,11,0.993,0.992222222222222,0.00283823106098773,0.00315359006776414
3.5,1,0.9955,0.995,0.0030731814857643,0.00341464609529365
3.5,2,0.99425,0.993611111111111,0.00425734659148161,0.00473038510164623
3.5,3,0.99525,0.994722222222222,0.00398782870466846,0.00443092078296495
3.5,4,0.9955,0.995,0.00404831926716371,0.00449813251907077
3.5,5,0.99525,0.994722222222222,0.00432210082662998,0.00480233425181107
3.5,6,0.99425,0.993611111111111,0.00354534123103045,0.00393926803447825
3.5,7,0.995,0.994444444444444,0.00440958551844099,0.00489953946493441
3.5,8,0.9945,0.993888888888889,0.00421637021355784,0.00468485579284203
3.5,9,0.99425,0.993611111111111,0.00391755309118106,0.00435283676797893
3.5,10,0.99325,0.9925,0.00409097923621118,0.00454553248467909
3.5,11,0.99325,0.9925,0.00409097923621118,0.00454553248467909
4,1,0.9935,0.992777777777778,0.0037638632635454,0.00418207029282821
4,2,0.9925,0.991666666666667,0.00440958551844098,0.00489953946493443
4,3,0.994,0.993333333333333,0.00411636301174281,0.00457373667971423
4,4,0.994,0.993333333333333,0.00357460176492121,0.00397177973880132
4,5,0.99575,0.995277777777778,0.00373608529524331,0.00415120588360367
4,6,0.99425,0.993611111111111,0.00391755309118106,0.00435283676797893
4,7,0.994,0.993333333333333,0.00474341649025256,0.00527046276694728
4,8,0.99325,0.9925,0.00409097923621118,0.00454553248467909
4,9,0.9935,0.992777777777778,0.0045946829173634,0.00510520324151488
4,10,0.993,0.992222222222222,0.00483045891539649,0.00536717657266276
4,11,0.99275,0.991944444444445,0.00506211418282915,0.00562457131425461
5,1,0.988,0.986666666666667,0.00307318148576429,0.00341464609529367
5,2,0.98475,0.983055555555556,0.00532942565177316,0.00592158405752573
5,3,0.99,0.988888888888889,0.0052704627669473,0.00585606974105255
5,4,0.98925,0.988055555555556,0.00312916389258645,0.00347684876954052
5,5,0.9895,0.988333333333333,0.00349602949390051,0.00388447721544502
5,6,0.98875,0.9875,0.00517069735249619,0.00574521928055132
5,7,0.99,0.988888888888889,0.00577350269189626,0.00641500299099584
5,8,0.98975,0.988611111111111,0.00506211418282916,0.00562457131425463
5,9,0.99,0.988888888888889,0.00513701166914082,0.0057077907434898
5,10,0.9895,0.988333333333333,0.00468448977418507,0.00520498863798342
5,11,0.98825,0.986944444444444,0.00624166110369135,0.00693517900410149
