"n","k","t"
2000,33,20.3000000000002
2000,34,20.2600000000002
2000,35,21.6100000000006
2000,36,20.2399999999998
2000,37,19.96
2000,38,20.0300000000007
2000,39,22.0600000000004
2000,40,20.8100000000004
2500,1,34.6499999999996
2500,2,34.1899999999996
2500,3,34.5
2500,4,36.2700000000004
2500,5,35.7699999999995
2500,6,38.7399999999998
2500,7,35.5799999999999
2500,8,37.7599999999993
2500,9,33.6800000000003
2500,10,34.6900000000005
2500,11,33.96
2500,12,34.8500000000004
2500,13,34.2400000000007
2500,14,34.1900000000005
2500,15,35.8199999999997
2500,16,34.21
2500,17,34.1600000000008
2500,18,34.7400000000007
2500,19,35.0300000000007
2500,20,34.2700000000004
2500,21,34.2700000000004
2500,22,34.2199999999993
2500,23,35.8599999999997
2500,24,34.3800000000001
2500,25,34.6300000000001
2500,26,35.9400000000005
2500,27,35.1500000000005
2500,28,38.6199999999999
2500,29,36.4499999999998
2500,30,34.5299999999997
2500,31,37.6299999999992
2500,32,35.71
2500,33,34.5
2500,34,34.6999999999998
2500,35,36.8900000000003
2500,36,34.8299999999999
2500,37,34.5200000000004
2500,38,35.6700000000001
2500,39,35.6299999999992
2500,40,35.75
3000,1,57.5
3000,2,55.0299999999988
3000,3,53.8199999999997
3000,4,54.3299999999999
3000,5,55.9099999999999
3000,6,56.5
3000,7,54.3799999999992
3000,8,54.2199999999993
3000,9,54.0599999999995
3000,10,54.5200000000004
3000,11,54.8500000000004
3000,12,53.5400000000009
3000,13,54.2199999999993
3000,14,58.8099999999995
3000,15,56.6399999999994
3000,16,53.9200000000001
3000,17,54.2199999999993
3000,18,53.9400000000005
3000,19,53.9400000000005
3000,20,55.9400000000005
3000,21,55.25
3000,22,56.1700000000001
3000,23,54.8200000000015
3000,24,55.6699999999983
3000,25,53.5900000000001
3000,26,54.6599999999999
3000,27,56.5
3000,28,56.7299999999996
3000,29,57.369999999999
3000,30,58.0399999999991
3000,31,57.7800000000007
3000,32,55.0900000000001
3000,33,57.5699999999997
3000,34,53.7000000000007
3000,35,54.5599999999995
3000,36,53.119999999999
3000,37,53.8999999999996
3000,38,52.619999999999
3000,39,56.0600000000013
3000,40,53.9700000000012
3500,1,90.5599999999995
3500,2,78.2299999999996
3500,3,82.8399999999983
3500,4,79.6400000000012
3500,5,84.4300000000003
3500,6,80.0599999999995
3500,7,78.4500000000007
3500,8,79.8100000000013
3500,9,78.5700000000015
3500,10,81.6699999999983
3500,11,78.6400000000012
3500,12,80.7600000000002
3500,13,82.1800000000003
3500,14,78.5899999999983
3500,15,78.6599999999999
3500,16,82.7399999999998
3500,17,78.5500000000011
3500,18,78.5800000000017
3500,19,85.4800000000014
3500,20,78.6200000000008
3500,21,78.6099999999988
3500,22,81.7700000000004
3500,23,80.8599999999988
3500,24,79.3400000000001
3500,25,79.9500000000007
3500,26,81.2800000000007
3500,27,78.9699999999993
3500,28,78.3599999999988
3500,29,85.8299999999999
3500,30,84.130000000001
3500,31,78.2899999999991
3500,32,83.0900000000001
3500,33,81.3599999999988
3500,34,91.1599999999999
3500,35,84.4200000000001
3500,36,80.75
3500,37,83.0400000000009
3500,38,80.8400000000001
3500,39,82.3299999999999
